timestamp,topico,valor,unidade
2026-05-17T01:09:30.048Z,transformador/nucleo/temperatura,60.41,°C
2026-05-17T01:09:30.048Z,transformador/nucleo/delta_t,8.56,°C
2026-05-17T01:09:30.048Z,transformador/primario/corrente,2.89,A
2026-05-17T01:09:30.048Z,transformador/secundario/corrente,25.63,A
2026-05-17T01:09:30.048Z,transformador/vibracao/fft_120hz,0.05,g
2026-05-17T01:09:30.048Z,transformador/vibracao/fft_240hz,0.04,g
2026-05-17T01:09:31.549Z,transformador/nucleo/temperatura,60.02,°C
2026-05-17T01:09:31.549Z,transformador/nucleo/delta_t,4.08,°C
2026-05-17T01:09:31.549Z,transformador/primario/corrente,2.35,A
2026-05-17T01:09:31.549Z,transformador/secundario/corrente,24.19,A
2026-05-17T01:09:31.549Z,transformador/vibracao/fft_120hz,0.12,g
2026-05-17T01:09:31.549Z,transformador/vibracao/fft_240hz,0.07,g
2026-05-17T01:09:33.050Z,transformador/nucleo/temperatura,48.25,°C
2026-05-17T01:09:33.050Z,transformador/nucleo/delta_t,7.58,°C
2026-05-17T01:09:33.050Z,transformador/primario/corrente,2.66,A
2026-05-17T01:09:33.050Z,transformador/secundario/corrente,25.32,A
2026-05-17T01:09:33.050Z,transformador/vibracao/fft_120hz,0.03,g
2026-05-17T01:09:33.050Z,transformador/vibracao/fft_240hz,0.02,g
2026-05-17T01:09:34.551Z,transformador/nucleo/temperatura,48.42,°C
2026-05-17T01:09:34.551Z,transformador/nucleo/delta_t,10.51,°C
2026-05-17T01:09:34.551Z,transformador/primario/corrente,2.88,A
2026-05-17T01:09:34.551Z,transformador/secundario/corrente,24.08,A
2026-05-17T01:09:34.551Z,transformador/vibracao/fft_120hz,0.02,g
2026-05-17T01:09:34.551Z,transformador/vibracao/fft_240hz,0.01,g
2026-05-17T01:09:36.052Z,transformador/nucleo/temperatura,55.17,°C
2026-05-17T01:09:36.052Z,transformador/nucleo/delta_t,10.68,°C
2026-05-17T01:09:36.052Z,transformador/primario/corrente,2.86,A
2026-05-17T01:09:36.052Z,transformador/secundario/corrente,19.03,A
2026-05-17T01:09:36.052Z,transformador/vibracao/fft_120hz,0.03,g
2026-05-17T01:09:36.052Z,transformador/vibracao/fft_240hz,0.01,g
2026-05-17T01:09:37.552Z,transformador/nucleo/temperatura,49.97,°C
2026-05-17T01:09:37.552Z,transformador/nucleo/delta_t,10.02,°C
2026-05-17T01:09:37.552Z,transformador/primario/corrente,3.14,A
2026-05-17T01:09:37.552Z,transformador/secundario/corrente,26.11,A
2026-05-17T01:09:37.552Z,transformador/vibracao/fft_120hz,0.08,g
2026-05-17T01:09:37.552Z,transformador/vibracao/fft_240hz,0.04,g
2026-05-17T01:09:39.053Z,transformador/nucleo/temperatura,57.63,°C
2026-05-17T01:09:39.053Z,transformador/nucleo/delta_t,11.52,°C
2026-05-17T01:09:39.053Z,transformador/primario/corrente,3.16,A
2026-05-17T01:09:39.053Z,transformador/secundario/corrente,23.84,A
